id,tipo,zona,direccion,superficie_m2,cubierta_m2,dormitorios,banos,precio_usd,usd_m2_cubierto,estado_propiedad,apto_nido,apto_flipping,financiacion,notas,ficha,estado_operacion,actualizado,contacto
GM-0001,casa,Santa Fe Norte,Llerena 2840,399,124,2,1,165000,1331,muy buena (11-15 anos),si,no,acepta propiedades como parte de pago,"cochera cubierta con porton, patio verde, lavadero sectorizado, planos de mensura",https://ficha.info/p/8532694cadff41feb0362be36c4277f7,disponible,2026-07-02,https://wa.me/5493424287842
GM-0002,cochera,Microcentro / Barrio Sur,consultar,,,0,0,15000,,muy buena,no,no,,"vehiculo estandar, seguridad y acceso automatizado, ticket de entrada minimo para inversion",https://ficha.info/p/35fbad51f45c419d906fe727bd1568cf,disponible,2026-07-02,https://wa.me/5493424287842
GM-0003,casa,Arroyo Aguiar,consultar,,,2,1,45000,,buena,no,no,,"amplio terreno, asador, patio cubierto y descubierto, agua de perforacion y corriente",https://ficha.info/p/b6cb372b5d884897b01846b9a2434ddb,disponible,2026-07-02,https://wa.me/5493424287842
GM-0004,casa,Arroyo Aguiar,consultar,,,4,1,92000,,muy buena,no,no,,"pileta, quincho con asador, doble ingreso vehicular, aire F/C y calefactores",https://ficha.info/p/608e3ed2cf3943f7bcf110a3ac7313ca,disponible,2026-07-02,https://wa.me/5493424287842
GM-0005,terreno,Sauce Viejo,consultar,600,,0,0,16000,27,,no,no,,"15x40 m, calle con mejorado, a metros de plaza principal, zona de alta expansion (valor tierra 27 USD/m2 vs zona 21-93)",https://ficha.info/p/b1116f41aa8f4dc19d6df226be1affff,disponible,2026-07-02,https://wa.me/5493424287842
GM-0006,departamento,Santo Tome,consultar,77,56,3,1,38000,679,muy buena,si,no,,"salon-cocina integrados, patio lavadero cubierto, cochera cubierta privada, gas natural cloacas y asfalto, apto mascotas",https://ficha.info/p/c5e52f184d7f4e18a953f3a5e0d3ba5e,disponible,2026-07-02,https://wa.me/5493424287842
GM-0007,quinta,Villa California,consultar,950,180,4,2,180000,1000,impecable,no,no,entrega 50% y saldo financiado hasta 10 anos,"pileta de amplias dimensiones, galeria perimetral, espacio 2 vehiculos, conectividad total",https://ficha.info/p/cb4ddcfa97434b849eda118c9643a68b,disponible,2026-07-02,https://wa.me/5493424287842
GM-0008,departamento,Mariano Comas,Pedro Vittori 3537 piso 5,70,60,2,1,135000,2250,excelente,si,no,,"edificio PILAY, completamente amoblado, parrilla propia, balcon y galeria, 3 ascensores, apto mascotas",https://ficha.info/p/948c20a95eed4ecca62222c89f3b937d,disponible,2026-07-02,https://wa.me/5493424287842
GM-0009,casa con local,Centro,Eva Peron (consultar altura),,256,4,2,270000,1055,muy buena,no,no,acepta permutas y propiedades como parte de pago,"local comercial al frente con acceso independiente (renta inmediata), cochera 3x6, dos patios, espacio para piscina",https://ficha.info/p/1f7eba9aaca445ab896c513c9bade14f,disponible,2026-07-02,https://wa.me/5493424287842
GM-0010,casa,Barrio Centenario,O'Higgins 3515,113,113,6,1,35000,310,a refaccionar (PA en bruto),no,si,,"proyecto flipping: 310 USD/m2 de entrada vs zona usada 700-1250 USD/m2, cochera propia, PB+PA",https://ficha.info/p/c29fcc4c569241ada0deaf8fadb491da,disponible,2026-07-02,https://wa.me/5493424287842
GM-0011,departamento,Puerto de Santa Fe,"Amarras Center Torre III piso 16, Sara Pinasco de Julierac",49,49,1,1,150000,3061,excelente,no,no,,"vista panoramica al rio y Puente Colgante, orientacion NO, amenities completos, apto profesional y mascotas, sin cochera",https://ficha.info/p/adb592acb56b4863962f540e8f1dd9f3,disponible,2026-07-02,https://wa.me/5493424287842
